设备利用率报表 - 2026年6月

总体概况
指标,数值
统计天数,30 天
设备总数,11
总可用设备天数,330 台天
实际出租台天数,35 台天
累计收入,¥82080.00
整体平均利用率,10.61%

按设备类型汇总 (利用率从高到低)
设备类型,台数,出租台天,空闲台天,平均出租天数/台,类型利用率,租赁次数,收入
压路机,2,10,50,5.0,16.67%,2,¥20960.00
推土机,2,7,53,3.5,11.67%,1,¥19200.00
装载机,2,7,53,3.5,11.67%,2,¥12000.00
挖掘机,3,7,83,2.3,7.78%,2,¥15520.00
起重机,2,4,56,2.0,6.67%,1,¥14400.00

单台设备明细 (利用率从低到高，方便识别闲置)
设备编号,类型,型号,当前状态,累计工时,出租天数,空闲天数,利用率,租赁次数,收入,闲置提示
WJ-003,挖掘机,神钢SK210,空闲,0.0h,0,30,0.00%,0,¥0.00,严重闲置⚠️
TT-002,推土机,小松D65PX,空闲,0.0h,0,30,0.00%,0,¥0.00,严重闲置⚠️
QZ-002,起重机,三一STC250,空闲,0.0h,0,30,0.00%,0,¥0.00,严重闲置⚠️
WJ-002,挖掘机,小松PC200,待保养,290.0h,1,29,3.33%,1,¥2080.00,严重闲置⚠️
ZZ-001,装载机,柳工CLG856,待保养,524.0h,3,27,10.00%,1,¥5280.00,严重闲置⚠️
YL-002,压路机,三一SSR220AC,空闲,32.0h,4,26,13.33%,1,¥8000.00,严重闲置⚠️
ZZ-002,装载机,徐工LW500FN,空闲,33.0h,4,26,13.33%,1,¥6720.00,严重闲置⚠️
QZ-001,起重机,中联重科QY25V,在租,0.0h,4,26,13.33%,1,¥14400.00,严重闲置⚠️
YL-001,压路机,徐工XS223J,待保养,416.0h,6,24,20.00%,1,¥12960.00,使用率偏低
WJ-001,挖掘机,卡特彼勒320D,在租,0.0h,6,24,20.00%,1,¥13440.00,使用率偏低
TT-001,推土机,山推SD16,待保养,785.0h,7,23,23.33%,1,¥19200.00,使用率偏低
